
;; (time (lisa-user::run-mab 500))

Evaluation took:
  3.086 seconds of real time
  1.756481 seconds of total run time (1.722465 user, 0.034016 system)
  [ Real times consist of 0.093 seconds GC time, and 2.993 seconds non-GC time. ]
  [ Run times consist of 0.093 seconds GC time, and 1.664 seconds non-GC time. ]
  56.90% CPU
  314 lambdas converted
  2,348,421,120 bytes consed

;; SBCL's deterministic profiler results (500 iterations) on MacOS with Apple
;; silicon (ARM64 M2 Pro):

measuring PROFILE overhead..done
  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
 LISA::BINDING-VARIABLE LISA::BOUND-PATTERN-P
 LISA::BUILD-LAMBDA-EXPRESSION LISA:CLEAR LISA::CLEAR-CONTEXT
 LISA::CLEAR-ENVIRONMENT-HANDLERS LISA::CLEAR-FOCUS-STACK
 LISA::CLEAR-NODE-TEST-TABLE LISA::CLEAR-SYSTEM-ENVIRONMENT
 LISA::COLLECT-BINDINGS LISA::COLLECT-CONSTRAINT-BINDINGS
 LISA::COMPILE-RULE LISA::COMPILE-RULE-BEHAVIOR
 LISA::COMPILE-RULE-INTO-NETWORK LISA::COMPOUND-PATTERN-P
 LISA:CONSIDER-TAXONOMY LISA::CONSTRAINED-SLOT-P
 LISA::CONTEXT-ACTIVATION-LIST LISA:CONTEXT-NAME LISA::CONTEXT-RULE-LIST
 LISA::CONTEXT-RULES LISA:CONTEXTS LISA::COPY-BINDING
 LISA::COPY-FACT-META-OBJECT LISA::COPY-NETWORK
 LISA::COPY-NODE-TEST-TABLE LISA::COPY-PARSED-PATTERN
 LISA::COPY-PATTERN-SLOT LISA::COPY-RULE LISA::COPY-RULE-ACTIONS
 LISA::CREATE-TEMPLATE-CLASS-SLOTS LISA::CURRENT-CONTEXT
 LISA::DECREMENT-USE-COUNT LISA::DEFFACTS-NAME LISA::DEFINE-RULE
 LISA:DEPENDENCIES LISA::DISTRIBUTE-TOKEN
 LISA::DUPLICATE-FACT-EXISTING-FACT LISA:ENGINE
 LISA::ENTER-JOIN-NETWORK-FROM-LEFT LISA::ENTER-JOIN-NETWORK-FROM-RIGHT
 LISA::EQUALS LISA::EXISTENTIAL-PATTERN-P LISA::EXPAND-SLOTS
 LISA::EXTRACT-RULE-HEADERS (SETF LISA::FACT-ID-TABLE)
 (SETF LISA::FACT-META-OBJECT-CLASS-NAME)
 LISA::FACT-META-OBJECT-CLASS-NAME LISA::FACT-META-OBJECT-P
