measuring PROFILE overhead..done
  seconds  |     gc     |     consed    |    calls   |  sec/call  |  name  
 LISA::LOGICAL-ELEMENT-P LISA::LOGICAL-PATTERN-P LISA::LOOKUP-ACTIVATION
 LISA::LOOKUP-ACTIVATIONS LISA::MAKE-BEHAVIOR LISA::MAKE-BINDING
 LISA::MAKE-BINDING-SET LISA::MAKE-BREADTH-FIRST-STRATEGY
 LISA::MAKE-CLASS-TEST LISA::MAKE-CONTEXT
 LISA::MAKE-DEFAULT-INFERENCE-ENGINE LISA::MAKE-DEFFACTS
 LISA::MAKE-DEPENDENCY-SET LISA::MAKE-DEPTH-FIRST-STRATEGY
 LISA::MAKE-FACT-FROM-INSTANCE LISA:MAKE-INFERENCE-ENGINE
 LISA::MAKE-INTER-PATTERN-TEST LISA::MAKE-INTRA-PATTERN-CONSTRAINT-TEST
 LISA::MAKE-INTRA-PATTERN-NODE LISA::MAKE-INTRA-PATTERN-PREDICATE
 LISA::MAKE-INTRA-PATTERN-TEST LISA::MAKE-JOIN-NODE
 LISA::MAKE-LEFT-JOIN-CONNECTION LISA::MAKE-NODE-PAIR LISA::MAKE-NODE1
 LISA::MAKE-NODE2 LISA::MAKE-NODE2-EXISTS LISA::MAKE-NODE2-NOT
 LISA::MAKE-NODE2-TEST LISA::MAKE-PARSED-PATTERN LISA::MAKE-PATTERN-SLOT
 LISA::MAKE-PREDICATE-TEST LISA::MAKE-QUERY-ENGINE LISA::MAKE-RETE
 LISA::MAKE-RETE-NETWORK LISA::MAKE-RIGHT-JOIN-CONNECTION
 LISA::MAKE-ROOT-NODE LISA::MAKE-RULE LISA::MAKE-RULE-ACTIONS
 LISA::MAKE-SIMPLE-SLOT-TEST LISA::MAKE-SIMPLE-SLOT-TEST-AUX
 LISA::MAKE-SUCCESSOR LISA::MAKE-TERMINAL-NODE
 LISA::MARK-AS-LOGICAL-BLOCK LISA::MARK-CLOS-INSTANCE-AS-CHANGED
 LISA:MARK-INSTANCE-AS-CHANGED LISA::MERGE-NETWORKS
 LISA::MERGE-RULE-INTO-NETWORK LISA::NEGATED-PATTERN-P
 LISA::NEGATED-SLOT-P LISA::NODE-PAIR-CHILD LISA::NODE-PAIR-PARENT
 LISA::NODE-REFERENCED-P LISA::NODE-TEST-CACHE LISA::NODE-USE-COUNT
 LISA::PARSE-AND-INSERT-DEFFACTS LISA::PARSE-AND-INSERT-INSTANCE
 LISA::PARSE-AND-RETRACT-INSTANCE LISA::PARSE-EXISTS-PATTERN
